text,subject,fake
"BRUSSELS (Reuters) - The United States cannot unilaterally cancel the 2015 nuclear deal between Iran and world powers, EU foreign policy chief Federica Mogherini said on Friday in reaction to President Donald Trump’s decision not to certify the accord. “We cannot afford as the international community to dismantle a nuclear agreement that is working,” said Mogherini, who chaired the final stages of the landmark talks. “This deal is not a bilateral agreement ... The international community, and the European Union with it, has clearly indicated that the deal is, and will, continue to be in place,” Mogherini told reporters. Mogherini said she spoke to U.S. Secretary of State Rex Tillerson immediately after Trump’s speech on Friday. ",politicsNews,0
"NEW YORK/SAN FRANCISCO (Reuters) - Even if President Donald Trump wins an appeal of a court ruling blocking his executive order on sanctuary cities, arguments made by the government in the case could permanently harm its  efforts to cut off wide swaths of federal funding to targeted cities, some legal experts say. Trump’s original order, issued on Jan. 25, stated that cities and counties shielding illegal immigrants and refusing to cooperate with immigration officials would lose federal funding except for that “deemed necessary for law enforcement purposes.”  U.S. Justice Department attorneys defending the order in a San Francisco court presented a far narrower view of its reach, however, arguing before U.S. District Judge William Orrick III earlier this month that the only funds the government intended to withhold were certain grants tied to law enforcement programs. * COMMENTARY: Why Trump should mend ties with Russia reut.rs/2qiISqU * COMMENTARY: Russia investigation teeters, but Trump’s strategy of stonewalling does not reut.rs/2oxuHll     That argument did not convince the judge on Tuesday, who noted in issuing a preliminary injunction that the text of the executive order threatened withdrawal of a much wider range of federal funds than the government attorneys asserted in court. [nL1N1HX23B]     “Disavowing the plain language of the executive order itself” was a potentially dangerous course for the Justice Department, said Edward Waters, a Washington lawyer who specializes in federal grants.  The government’s strategy could restrict its ability to cut off funds going forward, some legal experts said, since the Justice Department now has said the order applies to a narrow range of funding.  Trump has promised to broadly “defund” sanctuary cities, saying they “breed crime.” The government could appeal the preliminary injunction to the 9th Circuit Court of Appeals and the losing side at the appellate level could then appeal to the Supreme Court. One procedural case the federal government could make on appeal involves the timing of the challenge, some legal scholars suggested, but such an argument would have limitations. Since no federal funds actually have been withheld to date, the government could say there has been no harm and therefore the case is not yet “ripe” for litigation, said Brian Galle, an expert on government finance at Georgetown Law. To have standing to bring a case, San Francisco and Santa Clara County would have to have suffered actual harm, which could be difficult to establish in this case since they have so far lost no federal funding. [nL1N1FL1GW]     The two municipalities successfully argued in the district court hearing that they had already been harmed by uncertainty and chaos in their budget planning but that might not convince an appellate court.     “In the very short run it’s quite possible that the administration could win a reversal of this ruling” on appeal because of these procedural reasons, Galle said. He predicted, however, the administration would be unable to successfully defend itself if it then began withholding funds without Congress authorizing such action.  The Justice Department declined to discuss its appeals strategy.     Tuesday’s ruling left leeway for the administration to deny some kinds of funding to sanctuary cities, noting the government can “use lawful means to enforce existing conditions of federal grants.” A small amount of federal law enforcement money is tied to a statute requiring local jurisdictions to share information with federal immigration officials.     Programs making such grants include the Edward Byrne Memorial Justice Assistance Grant Program, Community Oriented Policing Services, and the State Criminal Alien Assistance Program. In San Francisco, such funding is a small fraction of federal monies that go to the city, said City Attorney Dennis Herrera. Tuesday’s ruling was the latest legal blow to the Trump administration, which has had two previous executive orders stayed by the courts. In February, a Washington court blocked a Trump order temporarily banning all refugees and travelers from seven mostly Muslim nations. A subsequent order replaced that one, removing Iraq from the ban and creating more exemptions. Parts of that ban were also blocked, this time by judges in Maryland and Hawaii.[nL2N1GS0XF] Those cases are pending appeal. After Tuesday’s district court ruling, a spokesman for the Department of Justice said that it “will follow the law with respect to regulation of sanctuary jurisdictions.”  But the president made clear on Twitter Wednesday that he doesn’t consider the battle over: “See you in the Supreme Court!” he tweeted. ",politicsNews,0
"WASHINGTON (Reuters) - Republican Donald Trump campaigned on a promise to shake up Washington and as president the brash real estate mogul will be in a position to dramatically change how the United States handles immigration, trade and a range of other policies. Yet many of his more ambitious proposals will require cooperation from Congress. While he will likely enjoy a post-election honeymoon with congressional Republicans, a long-lasting romance is far from guaranteed, given his uneasy relationship with congressional leaders and some basic ideological differences he has with Republican orthodoxy. Following is an overview of Trump’s top domestic policy plans, based on the sometimes vague details of his agenda, and their likelihood of success: In his campaign, Trump argued that international trade agreements had hurt U.S. workers and the country’s competitiveness. He has promised to “get tough” on China, withdraw from the 12-nation Trans-Pacific Partnership, or TPP, which is still not finalized, and renegotiate or scrap the North American Free Trade Agreement, the 1994 free-trade deal with Mexico and Canada.  As president, Trump does have some power to raise tariffs on countries such as China. He could delay the TPP, as well, even if Congress approves it. Economists have warned that such moves would damage the economy by forcing consumers to pay dramatically higher prices on everything from refrigerators to T-shirts. U.S. exports, such as airplanes and soybeans, would likely suffer as well.      On the campaign trail, Trump has promised to build a wall along the Mexican border, deport millions of undocumented immigrants and ban immigration from countries that have been “compromised by terrorism.”  Those policies would not come cheap. Trump has estimated the wall would cost $8 billion to $12 billion. Other estimates have run much higher. Politico estimated it would cost at least $166 billion to deport all of those in the country illegally and complete a border wall. While many congressional Republicans support those policies, they might blanch at the cost. Trump has said he would force Mexico to pay for the wall, but he has no power to force another country to spend money on something it does not want.  More broadly, Trump could shift the broader debate over immigration, empowering skeptics like Republican Senator Jeff Sessions of Alabama, who want to reduce overall immigration levels and reduce the number of skilled guest workers. That would be a blow to business groups and Hispanic advocates who have sought to relax immigration laws. Trump has promised to repeal President Barack Obama’s signature Affordable Care Act, popularly known as Obamacare, and replace it with a plan that would give states more control over the Medicaid health plan for the poor and allow insurers to sell plans nationally. He would need Congress to act, and Republicans could have difficulty getting the 60 votes needed to advance a repeal effort through the 100-seat Senate. Republicans could face a public backlash if they repeal a law that has provided healthcare to millions of Americans. A Trump administration would have plenty of other opportunities to undermine Obamacare, however, by appointing officials who are not committed to its success. Trump has vowed to make deep tax cuts, while also promising to protect popular health and retirement programs that account for more than a third of U.S. government spending. That combination of policies would massively increase the national debt, according to the nonpartisan Center for a Responsible Budget. He has also proposed increasing spending on the military and infrastructure, but has said he would reduce spending on categories other than health and retirement by 1 percent each year. On taxes, he would get plenty of help from Republicans in Congress, who have been laying the groundwork for a tax-code overhaul that would lower rates and close loopholes. But they will encounter fierce resistance from homeowners, businesses and other interest groups that benefit from current tax breaks. Trump’s promise to protect entitlement programs will rile fiscal conservatives, who worry they will swamp the federal budget in the decades to come. But those programs are popular with the American public. Trump has promised a “dismantling” of the 2010 Dodd-Frank financial reform law enacted following the financial crisis, but has given few details. The Republican Party’s platform calls for reinstating Glass-Steagall, the 1930s-era law that forced the separation of investment banks from deposit-taking institutions. Trump’s former campaign manager, Paul Manafort, said in July that his campaign backed that change. Republican lawmakers have so far been unable to undo many of their most-despised pieces of the Dodd-Frank law, and many in their ranks oppose a return to Glass-Steagall. Trump has offered few details about his plans to fight Islamic State but has said he would “knock the hell out of” the militant group. He says he is keeping the details of his strategy a secret so as not to disclose them to the enemy. Trump has said if he wins, he would give U.S. generals 30 days after he takes office on Jan. 20 to propose their own plans. Trump has said he opposes accepting refugees fleeing violence in Syria, and instead has said he would create “safe zones” there, which he says would be funded by Gulf states. Obama has said a safe zone in Syria would require a large U.S. military commitment, something that could prove to be unpopular with Americans weary of lengthy wars in Iraq and Afghanistan. Trump has said he would have a “very, very good” relationship with Russia.  Trump has said could work with Russia to combat Islamic State. He also said he would look into recognizing Crimea, seized from Ukraine in 2014, as Russian territory and lifting sanctions on Russia imposed by Western nations for what they called an illegal land grab. Trump has criticized the North Atlantic Treaty Organization, saying some U.S. allies have not met their defense commitments. In July, he said if Russia attacked a NATO member, he would consider whether the country has paid up before providing defense. NATO leaders say the sanctions against Russia are key to persuading it to change that country’s behavior in Ukraine, where it has backed ethnic Russian separatists, and that the alliance has long been focused on fighting international terrorism. With one vacancy on the Supreme Court and several more likely in the coming four years, Trump will have a chance to put a conservative stamp on the nation’s courts for decades to come. His list of potential nominees has won praise from conservative activists and Republicans in the Senate, who will be eager to help him in that area. ",politicsNews,0
"WASHINGTON (Reuters) - A bill to slash funding for the U.S. Securities and Exchange Commission, Internal Revenue Service and other financial regulators passed a key committee in the U.S. House of Representatives on Thursday after a long partisan fight. The expansive legislation would also place a halt on the payday lending restrictions that the Consumer Financial Protection Bureau recently proposed. The Appropriations Committee voted 30-17 to approve the bill allocating funds for financial services and general government, which now goes to the full House. One of the committee’s senior Democrats, Jose Serrano of New York, warned that the “bill in its current form will be vetoed.”  The Senate must still pass accompanying legislation. After that, both chambers will reconcile their bills into a single piece for President Barack Obama to sign or veto. Congress has tangled over budget laws for years, and federal agencies frequently rely on temporary continuing resolutions for funding. Republicans cast the bill as a way to streamline agencies and hold them accountable for spending decisions, while saving taxpayer money. Democrats attacked what they called “riders” to the bill, such as a measure to stop the Federal Communications Commission’s net neutrality rule and one to prevent corporations from being required to disclose political donations. They also said cuts to the SEC would hobble the agency in carrying out its duties and implementing the 2010 Dodd-Frank Wall Street reform law. Earlier this month the CFPB, charged with shielding consumers from financial fraud, proposed rules to limit short-term borrowings known as “payday” loans, which can charge interest as high as 390 percent. Critics say the proposal will cut off credit to poor people who may need small loans during emergencies. Representative Steven Palazzo, a Mississippi Republican, proposed an amendment on Thursday to delay implementing the rules until the bureau reports to Congress on their possible effects, saying he was concerned they could force people to turn to loan sharks.  Democratic National Committee Chair Debbie Wasserman Schultz had been one of the few members of her party to oppose the rules, and had sponsored a bill to delay CFPB rules for two years.  Wasserman Schultz, who is also a U.S. representative from Florida, reversed her position in the last week. She told the hearing on Thursday the proposal is “inarguably a step in the right direction,” adding, “I stand with the CFPB in its efforts to protect Americans from predatory lending.”  ",politicsNews,0
"WASHINGTON (Reuters) - The U.S. Federal Communications Commission wants to rollback landmark media ownership regulations that prohibit owning a television station and newspaper in the same market and making it easier to acquire additional TV or radio stations, Chairman Ajit Pai said on Wednesday. If approved at the FCC’s November meeting, the move would be a win for newspapers and broadcasters that have pushed for the change for decades, but was criticized by Democrats who said it could usher in a new era of media consolidation. The FCC in 1975 banned cross-ownership of a newspaper and broadcast station in the same market, unless it granted a waiver, to ensure a diversity of opinions. The rule was made before the explosion of internet and cable news and Republican President Donald Trump and Pai have vowed to reduce government regulation. “We must stop the federal government from intervening in the news business,” Pai told a congressional panel, noting that many newspapers have closed and many radio and TV stations are struggling. Pai moved earlier this year to make it easier for some companies to own a larger number of local stations.  Pai said the marketplace no longer justifies the rules, citing Facebook Inc (FB.O) and Alphabet Inc’s (GOOGL.O) dominance of internet advertising. “Online competition for the collection and distribution of news is greater than ever. And just two internet companies claim 100 percent of recent online advertising growth; indeed, their digital ad revenue this year alone will be greater than the market cap of the entire broadcasting industry,” Pai said. FCC Commissioner Mignon Clyburn, a Democrat, said at the hearing Wednesday the move would lead to further consolidation in the media business and should be opposed. There are three Republicans and two Democrats on the panel. Pai also proposes to make it easier for companies to own multiple TV and radio stations in the same market and he would allow two local stations among the top four in a market to petition the FCC to merge. The Pew Research Center said in June total weekday circulation for U.S. daily newspapers fell 8 percent in 2016, marking the 28th consecutive year of declines, while Sunday circulation declined to 38 million, the lowest levels since 1945. Newspaper ad revenue in 2016 fell to $18 billion, down from $49 billion in 2006. News Media Alliance Chief Executive David Chavern said newspapers need economies of scale to complete. He praised Pai’s move, saying the current rules “do not make sense, particularly when newspapers compete with countless sources of news and information every day.” The National Association of Broadcasters said it backs Pai’s plan, noting that policymakers have approved numerous “mega-mergers” among phone, cable and satellite programmers “while at the same time blocking broadcast/newspaper or radio/TV combinations in single markets.” The group added “this nonsensical regulatory approach has harmed the economic underpinning of newspapers, reduced local journalism jobs, and punished free and local broadcasters at the expense of our pay TV and radio competitors.” Free Press, an advocacy group, said the proposal would make it easier for Sinclair Broadcast Group Inc (SBGI.O) to complete its $3.9 billion acquisition of Tribune Media Co (TRCO.N) with fewer divestitures. The “disastrous proposal is tailor-made for Sinclair and other giant broadcast chains that push often slanted or cookie-cutter content over the public airwaves,” the group said. ",politicsNews,0
"KABUL (Reuters) - A leaked memo from an staff member in Afghan President Ashraf Ghani s office this week has set off a storm of criticism and accusations that the note lays bare systematic favoritism to Ghani s own Pashtun ethnic group. The undated memo, about appointments in the Administrative Office of the President (AOP), appeared to show jobs being awarded with an eye to keeping control in the hands of Pashtuns while giving the appearance of diversity. The leak has caused severe embarrassment to Ghani s fragile government, which has long faced criticism that it favors Pashtuns, traditionally the most powerful among a patchwork of different ethnic groups in Afghanistan, including Tajiks, Hazaras and Uzbeks.  The leak may well be the tip of the iceberg,  wrote Amrullah Saleh, a former head of the National Directorate for Security who is close to Chief Executive Abdullah Abdullah from the mainly Tajik Jamiat-i-Islami party. In a post on Facebook, Saleh said the memo showed how a  clique  was consolidating power through a  soft purge  involving  indirect intimidation, faking identities and the marginalization of  others .  The memo, by a senior staff member at the AOP, was initially shared with a limited number of people on a messaging platform, apparently by mistake before finding its way to the daily newspaper Etilaat Roz this week.  Tajiks and Uzbeks, who work completely under us, should be appointed symbolically so that people think every ethnicity is represented here,  it said. At another point it mentions an official, saying he is  a good person but he brings in Hazaras and appoints them to top positions. We have to look for Pashtuns who are fluent in all languages.  The official who posted the memo on the messaging platform  has resigned and the AOP issued a statement saying it was  a personal document sent by one of its staff and does not represent the overall policy of the office.   Shah Hussain Mortazawi, a spokesman for Ghani, also rejected the memo, saying there was no place for ethnic discrimination in the government. However it set off a storm of angry comment on social media and from influential figures like Saleh and another former intelligence chief, Rahmatullah Nabil, highlighting simmering resentments within the government camp less than a year before parliamentary elections due in July. The administration Ghani heads was painstakingly put together after disputed elections in 2014 when both he and his main opponent Abdullah claimed victory amid accusations of massive cheating on both sides. A U.S.-brokered power sharing deal left Ghani as President with Abdullah alongside as Chief Executive. But from the start the government has been beset by disputes over appointments being carved up on ethnic lines. ",worldnews,0
"BEIJING (Reuters) - U.S. President Donald Trump went around and over the “Great Firewall” of China in a late-night tweet in Beijing as he thanked his hosts for a rare tour of the Forbidden City and a private dinner at the sprawling, centuries-old palace complex.  Many Western social media platforms such as Twitter and Facebook are banned in China. A sophisticated system has been built to deny online users within China access to blocked content.  That was not an issue for Trump, known for tweeting to his 42.3 million followers at any hour of the day, on Wednesday, the day he arrived in Beijing. “On behalf of @FLOTUS Melania and I, THANK YOU for an unforgettable afternoon and evening at the Forbidden City in Beijing, President Xi and Madame Peng Liyuan. We are looking forward to rejoining you tomorrow morning!” Trump even changed his Twitter banner, uploading a photograph of himself and Melania with Chinese President Xi Jinping and his wife, Peng Liyuan, during a Chinese opera performance at the Forbidden City.  The Twitter banner upload did not go unnoticed by Chinese state media, with state broadcaster CCTV flashing screenshots of the photograph on Thursday. Trump’s visit was also the third-most talked-about topic on Chinese social media platform Weibo over the last 24 hours, trailing only the birthday of a singer in a Chinese boy band and a weekly Asian pop song chart.  Many people wondered how Trump managed to evade China’s tough internet controls.  “I guess he must have done it via wifi on a satellite network,” said a user on Weibo. Many foreigners log on to virtual private networks (VPNs) to access content hosted outside of China. Another option is to sign up for a data-roaming service before leaving one’s home country.  “The president will tweet whatever he wants. That’s his way of communicating directly with the American people. Why not?” a White House official said ahead of Trump’s arrival in Beijing on Wednesday.  When asked whether China considers Trump’s use of Twitter to be in breach of Chinese law, Foreign Ministry spokeswoman Hua Chunying said there were many means of communication with “the outside world”.  “In China, people have many channels to communicate, it’s just that they communicate in different ways,” Hua said at a regular ministry briefing. “For example, some people use WeChat, some people use Weibo. Some people use Apple phones, some people use Huawei phones.” Trump tweeted again on Thursday afternoon, posting an ABC News video montage of the “incredible” welcome parade at the Great Hall of the People, where he was greeted by a military band and jumping, flag-waving children.  In his tweet, Trump embedded a link to a photograph of his Beijing visit on Instagram - also forbidden in China.  Not all of Trump’s tweets in China were bright and cheerful.  “NoKo has interpreted America’s past restraint as weakness,” he tweeted about reclusive North Korea’s nuclear and missile threats. “This would be a fatal miscalculation. Do not underestimate us. AND DO NOT TRY US.”  ",politicsNews,0
"WASHINGTON (Reuters) - The U.S. Senate on Thursday delayed voting on a Republican tax overhaul as the bill was tripped up by problems with an amendment sought by fiscal hawks to address a large expansion of the federal budget deficit projected to result from the measure. The Senate debated the legislation late into Thursday and adjourned, putting off any votes until Friday morning. It was unclear if a decisive vote on the bill would occur then. The delay underscored nagging concerns among Republican fiscal conservatives about the deficit impact of the bill. That set up the possibility that its deep tax cuts might have to be moderated, that future tax increases might be built in, and that some conservatives might seek to attach spending cuts, all approaches that could throw up new political problems. White House legislative affairs director Marc Short told reporters in the Capitol: “I don’t think tax cuts are going to be scaled back. I think it would still be historic tax relief for corporations and for middle-income families.”  The tax bill is seen by Republicans as crucial to their prospects in the November 2018 elections, when they will fight to keep control of the Senate and the House of Representatives. Since taking office in January, President Donald Trump and  Republicans now in control of Congress have yet to pass major legislation, a fact they hope to change with their proposed tax- code overhaul, which would be the biggest since the 1980s. Democrats, expected to unanimously oppose the tax bill, have dismissed it as a giveaway to the wealthy and corporations. Republican Senator Bob Corker and others had tried to add a provision to the bill to trigger automatic future tax increases if the tax cuts in the bill did not boost the economy and generate revenues sufficient to offset the deficit expansion. But the Senate parliamentarian barred Corker’s “trigger” proposal on procedural grounds. The trigger amendment was needed to win Corker’s vote and those of others worried about the deficit - worries that intensified when congressional analysts said the bill would not boost the economy enough to offset the estimated deficit expansion, as the Trump administration had said it would. Senate Finance Committee Chairman Orrin Hatch told reporters in the Capitol that it had not been easy to accommodate Corker, Senator Jeff Flake and other fiscal hawks. “It’s been pretty hard to make them happy so far. We’re going to keep working on it ... and we’re going to do it,” Hatch said. Senate Republicans were considering making a proposed corporate income tax rate cut temporary, instead of permanent, so the rate would rise back to an unknown level after six or seven years, said one Republican senator and an aide. By that time, Trump might no longer be in office and a future Congress might change the law. When asked if the tax bill was in trouble, Republican Senator Mike Rounds told reporters: “No, I don’t think so. It’s just a matter of once again trying to make the bill work.” Optimism had reigned earlier in the day, when the bill won the backing of Republican Senator John McCain. Stocks surged on hopes that a key tax overhaul vote was imminent. The S&P 500 hit a record closing high and the Dow Jones industrial average topped the 24,000 mark for the first time. But the Joint Committee on Taxation, or JCT, a nonpartisan fiscal analysis unit of Congress, said the bill as passed earlier by the Senate Finance Committee, would generate only $407 billion in new tax revenue from increased economic growth. JCT had earlier estimated the tax bill would balloon the $20 trillion national debt by $1.4 trillion over 10 years. The new estimate, counting “dynamic” economic effects, put the deficit expansion at $1 trillion, far short of assertions by some Republicans that the tax cuts would pay for themselves. House of Representatives Democratic leader Nancy Pelosi said the new JCT estimate showed “no amount of dynamic scoring fairy dust will fix the catastrophic deficits of the GOP tax scam.” McCain, a key player in July’s collapse of a Republican effort to gut Obamacare, backed the tax bill. While “far from perfect,” the party’s 2008 presidential nominee said it would boost the economy and help all Americans. Republican Senator Susan Collins, who also played a role in the failure of the Obamacare rollback, told reporters she was still not committed to the bill. Several Republicans were withholding support while pushing for including a federal deduction for up to $10,000 in state and local property taxes and bigger tax breaks for “pass-through” companies, including small businesses. As drafted, the Senate bill would cut the U.S. corporate tax rate to 20 percent from 35 percent after a one-year delay and reduce the tax burden on businesses and individuals, while ending many tax breaks, but would still expand the deficit, Trump wants to enact tax cuts before January. The House approved its own tax bill on Nov. 16. It would have to be merged with the Senate bill, if it is approved, before any final measure could go to Trump for his signature.  Republicans have 52 votes in the 100-member Senate, giving them enough to win if they hold together. With Democrats opposed, Republicans could lose no more than two of their own votes, with Vice President Mike Pence able to break a 50-50 tie. Trump has attacked Corker and Flake on Twitter. Both senators are not seeking re-election. In early October, the president called Corker, “Liddle’ Bob Corker” in a tweet. Corker tweeted that the Trump White House was an “adult daycare center.” Days later, he called Trump a liar who had damaged U.S. standing in the world. Trump tweeted back saying Corker “couldn’t get elected dog catcher.” Trump earlier this month tweeted that Flake’s political career was ‘toast’” In a dramatic Senate speech, Flake said U.S. politics had become inured to “reckless, outrageous and undignified” behavior from the White House. ",politicsNews,0
"(Reuters) - Puerto Rico Governor Ricardo Rossello said on Friday he was “committed to establishing a working relationship” and fostering “open dialogue” with U.S. Treasury Secretary Steven Mnuchin, after the two met in Washington.  Rossello, who took office on Jan. 2, met with Mnuchin to discuss his efforts to “put Puerto Rico’s financial house in order,” a statement from the governor’s office said. Rossello has signed more than 20 bills and executive orders aimed at cutting spending and fostering economic growth, but Puerto Rico faces a long haul out of an economic crisis characterized by a 45 percent poverty rate, near-insolvent public pensions and healthcare systems, and almost $70 billion in debt.  Under former President Barack Obama, the Treasury took a hands-on approach in Puerto Rico, working with federal lawmakers on legislation aimed at giving the U.S. territory a way to cut debt. President Donald Trump has given little indication of how his administration may handle Puerto Rico.  The island’s finances are under the supervision of a federally appointed board. Rossello on Tuesday is scheduled to present the board with a 10-year blueprint for the island’s fiscal turnaround.  The board has said the plan should find $4.5 billion a year in savings and revenue, including a 10 percent reduction in pension benefits and $1 billion in annual savings on healthcare spending. In an interview with Reuters on Thursday, Rossello said his plan will generally meet the board’s criteria, with some exceptions, particularly on healthcare spending. “A $1 billion reduction in healthcare would not only severely hamper the people of Puerto Rico, it would also cripple what is a healthy industry, the healthcare industry,” Rossello said. Puerto Rico’s Medicare system is on the brink of insolvency, in part because, as a U.S. territory, it receives proportionately less federal reimbursement than states. Rossello has said he will lobby the federal government to increase such funding, but the board has said the turnaround plan should not assume any funding changes or help from Washington. ",politicsNews,0
"NEW YORK (Reuters) - Donald Trump’s spokesman on Thursday rejected media reports that said the Republican president-elect was planning to restructure the nation’s intelligence agencies, calling the reports “100 percent false.” “There is no truth to this idea of restructuring the intelligence community infrastructure,” Trump spokesman Sean Spicer told reporters in a conference call. “All transition activities are for information gathering purposes and all discussions are tentative.”  ",politicsNews,0
